Ep: 91 | Score: 361.0 | Avg: 187.3 | Best: 397.0
Ep: 92 | Score: 347.0 | Avg: 195.6 | Best: 397.0
Ep: 93 | Score: 410.0 | Avg: 205.8 | Best: 397.0
Ep: 94 | Score: 409.0 | Avg: 215.6 | Best: 410.0
Ep: 95 | Score: 335.0 | Avg: 224.9 | Best: 410.0
Ep: 96 | Score: 196.0 | Avg: 226.1 | Best: 410.0
Ep: 97 | Score: 159.0 | Avg: 226.5 | Best: 410.0
Ep: 98 | Score: 191.0 | Avg: 229.1 | Best: 410.0
Ep: 99 | Score: 418.0 | Avg: 240.6 | Best: 410.0
Ep: 100 | Score: 366.0 | Avg: 248.4 | Best: 418.0
Ep: 101 | Score: 351.0 | Avg: 256.6 | Best: 418.0
Ep: 102 | Score: 320.0 | Avg: 263.6 | Best: 418.0
Ep: 103 | Score: 180.0 | Avg: 263.3 | Best: 418.0
Ep: 104 | Score: 103.0 | Avg: 261.8 | Best: 418.0
Ep: 105 | Score: 189.0 | Avg: 263.6 | Best: 418.0
Ep: 106 | Score: 126.0 | Avg: 262.2 | Best: 418.0
Ep: 107 | Score: 189.0 | Avg: 263.5 | Best: 418.0
Ep: 108 | Score: 332.0 | Avg: 261.3 | Best: 418.0
Ep: 109 | Score: 160.0 | Avg: 260.6 | Best: 418.0
Ep: 110 | Score: 332.0 | Avg: 267.0 | Best: 418.0
Ep: 111 | Score: 350.0 | Avg: 265.2 | Best: 418.0
Ep: 112 | Score: 197.0 | Avg: 265.6 | Best: 418.0
Ep: 113 | Score: 379.0 | Avg: 273.3 | Best: 418.0
Ep: 114 | Score: 350.0 | Avg: 276.4 | Best: 418.0
Ep: 115 | Score: 391.0 | Avg: 285.6 | Best: 418.0
Ep: 116 | Score: 455.0 | Avg: 289.4 | Best: 418.0
Ep: 117 | Score: 392.0 | Avg: 291.2 | Best: 455.0
Ep: 118 | Score: 409.0 | Avg: 291.2 | Best: 455.0
Ep: 119 | Score: 194.0 | Avg: 282.6 | Best: 455.0
Ep: 120 | Score: 197.0 | Avg: 277.0 | Best: 455.0
Ep: 121 | Score: 421.0 | Avg: 286.0 | Best: 455.0
Ep: 122 | Score: 459.0 | Avg: 298.0 | Best: 455.0
Ep: 123 | Score: 194.0 | Avg: 298.2 | Best: 459.0
Ep: 124 | Score: 487.0 | Avg: 300.9 | Best: 459.0
Ep: 125 | Score: 415.0 | Avg: 302.9 | Best: 487.0
Ep: 126 | Score: 188.0 | Avg: 296.4 | Best: 487.0
Ep: 127 | Score: 196.0 | Avg: 291.4 | Best: 487.0
Ep: 128 | Score: 388.0 | Avg: 299.7 | Best: 487.0
Ep: 129 | Score: 333.0 | Avg: 308.9 | Best: 487.0
Ep: 130 | Score: 347.0 | Avg: 315.2 | Best: 487.0
Ep: 131 | Score: 384.0 | Avg: 325.6 | Best: 487.0
Ep: 132 | Score: 446.0 | Avg: 335.8 | Best: 487.0
Ep: 133 | Score: 371.0 | Avg: 337.4 | Best: 487.0
Ep: 134 | Score: 190.0 | Avg: 338.6 | Best: 487.0
Ep: 135 | Score: 363.0 | Avg: 339.8 | Best: 487.0
Ep: 136 | Score: 265.0 | Avg: 336.4 | Best: 487.0
Ep: 137 | Score: 467.0 | Avg: 347.2 | Best: 487.0
Ep: 138 | Score: 329.0 | Avg: 345.2 | Best: 487.0
Ep: 139 | Score: 396.0 | Avg: 347.1 | Best: 487.0
Ep: 140 | Score: 424.0 | Avg: 348.4 | Best: 487.0
Ep: 141 | Score: 389.0 | Avg: 345.8 | Best: 487.0
Ep: 142 | Score: 439.0 | Avg: 347.6 | Best: 487.0
Ep: 143 | Score: 160.0 | Avg: 337.7 | Best: 487.0
Ep: 144 | Score: 445.0 | Avg: 347.7 | Best: 487.0
Ep: 145 | Score: 192.0 | Avg: 347.5 | Best: 487.0
Ep: 146 | Score: 147.0 | Avg: 336.6 | Best: 487.0
Ep: 147 | Score: 184.0 | Avg: 325.6 | Best: 487.0
Ep: 148 | Score: 355.0 | Avg: 332.0 | Best: 487.0
Ep: 149 | Score: 156.0 | Avg: 318.8 | Best: 487.0
Ep: 150 | Score: 162.0 | Avg: 308.6 | Best: 487.0
Ep: 151 | Score: 315.0 | Avg: 313.7 | Best: 487.0
Ep: 152 | Score: 180.0 | Avg: 313.1 | Best: 487.0
Ep: 153 | Score: 405.0 | Avg: 313.8 | Best: 487.0
Ep: 154 | Score: 193.0 | Avg: 308.2 | Best: 487.0
Ep: 155 | Score: 179.0 | Avg: 301.4 | Best: 487.0
Ep: 156 | Score: 386.0 | Avg: 301.5 | Best: 487.0
Ep: 157 | Score: 196.0 | Avg: 291.5 | Best: 487.0
Ep: 158 | Score: 177.0 | Avg: 283.8 | Best: 487.0
Ep: 159 | Score: 340.0 | Avg: 289.8 | Best: 487.0
Ep: 160 | Score: 433.0 | Avg: 292.6 | Best: 487.0
Ep: 161 | Score: 362.0 | Avg: 296.4 | Best: 487.0
Ep: 162 | Score: 344.0 | Avg: 291.5 | Best: 487.0
Ep: 163 | Score: 378.0 | Avg: 293.5 | Best: 487.0
Ep: 164 | Score: 343.0 | Avg: 291.4 | Best: 487.0
Ep: 165 | Score: 408.0 | Avg: 290.7 | Best: 487.0
Ep: 166 | Score: 190.0 | Avg: 282.8 | Best: 487.0
Ep: 167 | Score: 470.0 | Avg: 284.0 | Best: 487.0
Ep: 168 | Score: 123.0 | Avg: 282.5 | Best: 487.0
Ep: 169 | Score: 173.0 | Avg: 271.6 | Best: 487.0
Ep: 170 | Score: 342.0 | Avg: 277.6 | Best: 487.0
Ep: 171 | Score: 166.0 | Avg: 278.4 | Best: 487.0
Ep: 172 | Score: 146.0 | Avg: 276.9 | Best: 487.0
Ep: 173 | Score: 348.0 | Avg: 276.6 | Best: 487.0
Ep: 174 | Score: 381.0 | Avg: 285.6 | Best: 487.0
Ep: 175 | Score: 293.0 | Avg: 290.8 | Best: 487.0
Ep: 176 | Score: 173.0 | Avg: 285.2 | Best: 487.0
Ep: 177 | Score: 364.0 | Avg: 292.5 | Best: 487.0
Ep: 178 | Score: 194.0 | Avg: 284.1 | Best: 487.0
Ep: 179 | Score: 428.0 | Avg: 293.5 | Best: 487.0
Ep: 180 | Score: 390.0 | Avg: 301.9 | Best: 487.0
Ep: 181 | Score: 129.0 | Avg: 291.6 | Best: 487.0
Ep: 182 | Score: 437.0 | Avg: 301.3 | Best: 487.0
Ep: 183 | Score: 428.0 | Avg: 311.3 | Best: 487.0
Ep: 184 | Score: 179.0 | Avg: 304.9 | Best: 487.0
Ep: 185 | Score: 407.0 | Avg: 303.8 | Best: 487.0
Ep: 186 | Score: 197.0 | Avg: 297.2 | Best: 487.0
Ep: 187 | Score: 196.0 | Avg: 291.3 | Best: 487.0
Ep: 188 | Score: 418.0 | Avg: 292.9 | Best: 487.0
Ep: 189 | Score: 411.0 | Avg: 295.6 | Best: 487.0
Ep: 190 | Score: 410.0 | Avg: 295.7 | Best: 487.0
Ep: 191 | Score: 441.0 | Avg: 305.8 | Best: 487.0
Ep: 192 | Score: 179.0 | Avg: 294.1 | Best: 487.0
Ep: 193 | Score: 474.0 | Avg: 308.2 | Best: 487.0
Ep: 194 | Score: 192.0 | Avg: 308.9 | Best: 487.0
Ep: 195 | Score: 161.0 | Avg: 301.7 | Best: 487.0
Ep: 196 | Score: 193.0 | Avg: 302.8 | Best: 487.0
Ep: 197 | Score: 358.0 | Avg: 311.2 | Best: 487.0
Ep: 198 | Score: 427.0 | Avg: 314.4 | Best: 487.0
Ep: 199 | Score: 134.0 | Avg: 304.5 | Best: 487.0
Ep: 200 | Score: 187.0 | Avg: 300.3 | Best: 487.0
Ep: 201 | Score: 170.0 | Avg: 300.2 | Best: 487.0
Ep: 202 | Score: 393.0 | Avg: 301.3 | Best: 487.0
Ep: 203 | Score: 428.0 | Avg: 310.7 | Best: 487.0
Ep: 204 | Score: 183.0 | Avg: 300.9 | Best: 487.0
Ep: 205 | Score: 197.0 | Avg: 293.2 | Best: 487.0
Ep: 206 | Score: 326.0 | Avg: 301.0 | Best: 487.0
Ep: 207 | Score: 177.0 | Avg: 290.6 | Best: 487.0
Ep: 208 | Score: 444.0 | Avg: 291.3 | Best: 487.0
Ep: 209 | Score: 140.0 | Avg: 289.7 | Best: 487.0
Ep: 210 | Score: 390.0 | Avg: 289.0 | Best: 487.0
Ep: 211 | Score: 407.0 | Avg: 297.4 | Best: 487.0
Ep: 212 | Score: 310.0 | Avg: 302.0 | Best: 487.0
Ep: 213 | Score: 112.0 | Avg: 289.8 | Best: 487.0
Ep: 214 | Score: 366.0 | Avg: 288.0 | Best: 487.0
Ep: 215 | Score: 364.0 | Avg: 286.1 | Best: 487.0
Ep: 216 | Score: 162.0 | Avg: 275.0 | Best: 487.0
Ep: 217 | Score: 335.0 | Avg: 281.2 | Best: 487.0
Ep: 218 | Score: 408.0 | Avg: 278.6 | Best: 487.0
Ep: 219 | Score: 195.0 | Avg: 278.7 | Best: 487.0
Ep: 220 | Score: 155.0 | Avg: 278.4 | Best: 487.0
Ep: 221 | Score: 191.0 | Avg: 278.4 | Best: 487.0
Ep: 222 | Score: 142.0 | Avg: 269.7 | Best: 487.0
Ep: 223 | Score: 369.0 | Avg: 267.4 | Best: 487.0
Ep: 224 | Score: 196.0 | Avg: 269.9 | Best: 487.0
Ep: 225 | Score: 366.0 | Avg: 277.0 | Best: 487.0
Ep: 226 | Score: 384.0 | Avg: 285.6 | Best: 487.0
Ep: 227 | Score: 429.0 | Avg: 287.0 | Best: 487.0
Ep: 228 | Score: 414.0 | Avg: 286.5 | Best: 487.0
Ep: 229 | Score: 378.0 | Avg: 294.3 | Best: 487.0
Ep: 230 | Score: 445.0 | Avg: 304.2 | Best: 487.0
Ep: 231 | Score: 417.0 | Avg: 307.8 | Best: 487.0
Ep: 232 | Score: 377.0 | Avg: 315.8 | Best: 487.0
Ep: 233 | Score: 178.0 | Avg: 305.2 | Best: 487.0
Ep: 234 | Score: 198.0 | Avg: 307.5 | Best: 487.0
Ep: 235 | Score: 198.0 | Avg: 299.8 | Best: 487.0
Ep: 236 | Score: 172.0 | Avg: 290.4 | Best: 487.0
Ep: 237 | Score: 387.0 | Avg: 293.5 | Best: 487.0
Ep: 238 | Score: 402.0 | Avg: 305.1 | Best: 487.0
Ep: 239 | Score: 193.0 | Avg: 298.2 | Best: 487.0
Ep: 240 | Score: 378.0 | Avg: 298.8 | Best: 487.0
Ep: 241 | Score: 383.0 | Avg: 307.6 | Best: 487.0
Ep: 242 | Score: 369.0 | Avg: 309.0 | Best: 487.0
Ep: 243 | Score: 188.0 | Avg: 300.2 | Best: 487.0
Ep: 244 | Score: 684.0 | Avg: 319.7 | Best: 487.0
Ep: 245 | Score: 393.0 | Avg: 329.2 | Best: 684.0
Ep: 246 | Score: 196.0 | Avg: 329.4 | Best: 684.0
Ep: 247 | Score: 372.0 | Avg: 338.6 | Best: 684.0
Ep: 248 | Score: 421.0 | Avg: 340.7 | Best: 684.0
Ep: 249 | Score: 421.0 | Avg: 349.7 | Best: 684.0
Ep: 250 | Score: 439.0 | Avg: 352.6 | Best: 684.0
Ep: 251 | Score: 340.0 | Avg: 350.9 | Best: 684.0
Ep: 252 | Score: 168.0 | Avg: 340.4 | Best: 684.0
Ep: 253 | Score: 196.0 | Avg: 331.7 | Best: 684.0
Ep: 254 | Score: 413.0 | Avg: 333.1 | Best: 684.0
Ep: 255 | Score: 196.0 | Avg: 323.2 | Best: 684.0
Ep: 256 | Score: 359.0 | Avg: 320.8 | Best: 684.0
